Macrotrends Data Download

Hong Kong Crime Rate & Statistics 1990-2022


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Per 100K Population, Annual % Change, 
1990-12-31,2.3918
1991-12-31,1.5862,-33.68
1992-12-31,1.8415,16.1
1993-12-31,1.4507,-21.22
1994-12-31,1.6001,10.3
1995-12-31,1.1998,-25.02
1996-12-31,1.2448,3.75
1997-12-31,1.6191,30.07
1998-12-31,0.9974,-38.4
1999-12-31,0.9659,-3.16
2000-12-31,0.6509,-32.61
2001-12-31,0.9903,52.14
2002-12-31,1.0296,3.97
2003-12-31,0.7733,-24.89
2004-12-31,0.6672,-13.72
2005-12-31,0.5022,-24.73
2006-12-31,0.5145,2.45
2007-12-31,0.2632,-48.84
2008-12-31,0.5231,98.75
2009-12-31,0.6787,29.75
2010-12-31,0.5024,-25.98
2011-12-31,0.2426,-51.71
2012-12-31,0.3832,57.96
2013-12-31,0.8746,128.24
2014-12-31,0.3784,-56.73
2015-12-31,0.3062,-19.08
2016-12-31,0.3866,26.26
2017-12-31,0.3285,-15.03
2018-12-31,0.6511,98.2
2019-12-31,0.3227,-50.44
2020-12-31,0.2935,-9.05
